imbalance_type,algorithm,worst_domain_acc_final_mean,worst_domain_acc_final_std,worst_domain_acc_final_count,avg_domain_acc_final_mean,avg_domain_acc_final_std,avg_domain_acc_final_count,best_domain_acc_final_mean,best_domain_acc_final_std,best_domain_acc_final_count
balanced,erm,0.57698,0.012670122335636663,5,0.6448436363636363,0.002353302585272693,5,0.71182,0.0063637253240535286,5
balanced,groupdro,0.58698,0.013781037696777427,5,0.6454163636363637,0.0020755304011941225,5,0.70366,0.007395133534967427,5
balanced,inftask,0.6531399999999999,0.009514357571586229,5,0.6717945454545454,0.010720565314439207,5,0.69066,0.019835145575467793,5
balanced,irm,0.62134,0.02091573570305384,5,0.6640927272727273,0.0033275856782780657,5,0.70736,0.010782532170135164,5
balanced,iro,0.65626,0.00591548814553794,5,0.6753927272727273,0.008457954835537984,5,0.69278,0.01697253664011365,5
first_heavy_mild,erm,0.47298,0.013851064941007225,5,0.6291727272727273,0.0040271444674835075,5,0.78562,0.008128160923603878,5
first_heavy_mild,groupdro,0.50494,0.012329760743826305,5,0.6341345454545454,0.0026702322924921826,5,0.7643599999999999,0.0065630023617244074,5
first_heavy_mild,inftask,0.63532,0.014750152541584108,5,0.6694781818181819,0.013452184375141835,5,0.70646,0.018770801794276152,5
first_heavy_mild,irm,0.57556,0.015603300932815487,5,0.6568781818181818,0.002960711049284501,5,0.7406200000000001,0.008791018143537182,5
first_heavy_mild,iro,0.6367999999999999,0.011867813614984048,5,0.6723945454545455,0.010465933718261421,5,0.7044,0.020487923272015655,5
first_heavy_strong,erm,0.35366,0.009343072299837994,5,0.602709090909091,0.0030546333861802334,5,0.8509399999999999,0.004384974344280713,5
first_heavy_strong,groupdro,0.40132,0.01318775947612027,5,0.6140181818181818,0.004252685102204612,5,0.82768,0.006555684556169532,5
first_heavy_strong,inftask,0.6188,0.009344517108978915,5,0.6695218181818182,0.011998186157681525,5,0.72142,0.02583335053762871,5
first_heavy_strong,irm,0.5319200000000001,0.010748813888052995,5,0.6505618181818182,0.002369654924838196,5,0.77162,0.004250529378795062,5
first_heavy_strong,iro,0.6189199999999999,0.007390669793733181,5,0.6713436363636364,0.008907333778484027,5,0.71944,0.026694063010339983,5
last_heavy_mild,erm,0.60078,0.011518984330226347,5,0.6467927272727273,0.002534256211485824,5,0.69104,0.015286693560086807,5
last_heavy_mild,groupdro,0.60476,0.010771861491868541,5,0.6466818181818181,0.0027242104019420607,5,0.6873199999999999,0.013400261191484282,5
last_heavy_mild,inftask,0.6496999999999999,0.02723894271075881,5,0.6674472727272728,0.017497520957822033,5,0.6848799999999999,0.011933021411193389,5
last_heavy_mild,irm,0.64754,0.00758636935562728,5,0.6667145454545456,0.0014877683104080417,5,0.6860799999999999,0.012234255187791405,5
last_heavy_mild,iro,0.65054,0.024109707588438316,5,0.6693218181818181,0.015580418681184142,5,0.68664,0.011627682486205049,5
last_heavy_strong,erm,0.46104,0.0075893346216911505,5,0.6262763636363636,0.003741914699700517,5,0.79128,0.006599015078024913,5
last_heavy_strong,groupdro,0.49736,0.012039850497410687,5,0.6330545454545454,0.005092718834175535,5,0.76988,0.007345202515928344,5
last_heavy_strong,inftask,0.63602,0.027845053420670635,5,0.6706545454545454,0.014354175537867131,5,0.70484,0.016320171567725632,5
last_heavy_strong,irm,0.5862,0.005825375524376112,5,0.657950909090909,0.004611213425574495,5,0.7308,0.010850576021575964,5
last_heavy_strong,iro,0.6434599999999999,0.019728355227945447,5,0.6736981818181819,0.0122731639652947,5,0.70714,0.013669052637253239,5
