algorithm,condition,group_by,metric,records,mean_ok,std_ok,actual_mean,summary_mean,actual_std,summary_std
iro,4,n_train_domains,best_domain_acc_best,5,True,True,0.70102,0.70102,0.010162529212750133,0.010162529212750104
erm,6,n_train_domains,worst_domain_acc_best,5,True,True,0.68894,0.68894,0.011821717303336234,0.011821717303336232
erm,6,n_train_domains,avg_domain_acc_best,5,True,True,0.7201690909090909,0.720169090909091,0.0020277577895035748,0.002027757789503572
erm,6,n_train_domains,best_domain_acc_best,5,True,True,0.75176,0.75176,0.006101065480717297,0.006101065480717284
groupdro,6,n_train_domains,worst_domain_acc_best,5,True,True,0.69444,0.69444,0.009650544026115825,0.009650544026115822
groupdro,6,n_train_domains,avg_domain_acc_best,5,True,True,0.7112509090909092,0.7112509090909092,0.002874399685798582,0.002874399685798584
groupdro,6,n_train_domains,best_domain_acc_best,5,True,True,0.7282200000000001,0.72822,0.006737729587924989,0.0067377295879249765
inftask,6,n_train_domains,worst_domain_acc_best,5,True,True,0.65354,0.65354,0.04852136642758528,0.048521366427585276
inftask,6,n_train_domains,avg_domain_acc_best,5,True,True,0.68008,0.68008,0.013443421998930267,0.013443421998930252
inftask,6,n_train_domains,best_domain_acc_best,5,True,True,0.69726,0.69726,0.00376802335449235,0.0037680233544923323
irm,6,n_train_domains,worst_domain_acc_best,5,True,True,0.7077800000000001,0.70778,0.004299069666800015,0.004299069666800017
irm,6,n_train_domains,avg_domain_acc_best,5,True,True,0.71794,0.7179399999999999,0.0014878238587651073,0.0014878238587650887
irm,6,n_train_domains,best_domain_acc_best,5,True,True,0.7277600000000001,0.72776,0.002000749859427681,0.002000749859427701
iro,6,n_train_domains,worst_domain_acc_best,5,True,True,0.67882,0.67882,0.007043223693735699,0.007043223693735735
iro,6,n_train_domains,avg_domain_acc_best,5,True,True,0.6884127272727272,0.6884127272727273,0.007272555679793878,0.007272555679793944
iro,6,n_train_domains,best_domain_acc_best,5,True,True,0.69856,0.69856,0.006287924935938746,0.006287924935938761
erm,8,n_train_domains,worst_domain_acc_best,5,True,True,0.7147,0.7147,0.004132190702278905,0.004132190702278902
erm,8,n_train_domains,avg_domain_acc_best,5,True,True,0.7228236363636364,0.7228236363636364,0.001717707967367316,0.0017177079673673292
erm,8,n_train_domains,best_domain_acc_best,5,True,True,0.73166,0.73166,0.002526459973955649,0.0025264599739556414
groupdro,8,n_train_domains,worst_domain_acc_best,5,True,True,0.7046600000000001,0.70466,0.0034507970093878458,0.00345079700938786
groupdro,8,n_train_domains,avg_domain_acc_best,5,True,True,0.7129272727272727,0.7129272727272726,0.0005499436485031863,0.0005499436485032183
groupdro,8,n_train_domains,best_domain_acc_best,5,True,True,0.7212,0.7212,0.002750454507895008,0.0027504545078949855
inftask,8,n_train_domains,worst_domain_acc_best,5,True,True,0.6795199999999999,0.6795199999999999,0.009655412989613643,0.009655412989613638
inftask,8,n_train_domains,avg_domain_acc_best,5,True,True,0.6882127272727272,0.6882127272727272,0.009788436844959884,0.009788436844959838
inftask,8,n_train_domains,best_domain_acc_best,5,True,True,0.6970000000000001,0.697,0.009225779099891774,0.00922577909989179
irm,8,n_train_domains,worst_domain_acc_best,5,True,True,0.7147,0.7147,0.004132190702278905,0.004132190702278866
irm,8,n_train_domains,avg_domain_acc_best,5,True,True,0.7228236363636363,0.7228236363636364,0.001717707967367316,0.001717707967367324
irm,8,n_train_domains,best_domain_acc_best,5,True,True,0.73166,0.73166,0.002526459973955649,0.002526459973955654
iro,8,n_train_domains,worst_domain_acc_best,5,True,True,0.6856,0.6856,0.008114185110040317,0.00811418511004032
iro,8,n_train_domains,avg_domain_acc_best,5,True,True,0.6918018181818181,0.6918018181818182,0.008852457752763583,0.008852457752763563
iro,8,n_train_domains,best_domain_acc_best,5,True,True,0.69954,0.69954,0.010451698426571617,0.010451698426571641
