algorithm,condition,group_by,metric,records,mean_ok,std_ok,actual_mean,summary_mean,actual_std,summary_std
erm,2,n_train_domains,worst_domain_acc_best,5,True,True,0.71636,0.71636,0.0018338484124921191,0.001833848412492094
erm,2,n_train_domains,avg_domain_acc_best,5,True,True,0.7236945454545455,0.7236945454545454,0.001845673968146612,0.0018456739681466361
erm,2,n_train_domains,best_domain_acc_best,5,True,True,0.73094,0.73094,0.003143723906452376,0.0031437239064523903
groupdro,2,n_train_domains,worst_domain_acc_best,5,True,True,0.7071799999999999,0.7071799999999999,0.003364074909986384,0.0033640749099863878
groupdro,2,n_train_domains,avg_domain_acc_best,5,True,True,0.7146363636363637,0.7146363636363636,0.00346138676647203,0.003461386766471991
groupdro,2,n_train_domains,best_domain_acc_best,5,True,True,0.7228,0.7228,0.004810405388322299,0.004810405388322312
inftask,2,n_train_domains,worst_domain_acc_best,5,True,True,0.67424,0.67424,0.009645361579536561,0.009645361579536566
inftask,2,n_train_domains,avg_domain_acc_best,5,True,True,0.685889090909091,0.685889090909091,0.011019613243351982,0.01101961324335198
inftask,2,n_train_domains,best_domain_acc_best,5,True,True,0.69526,0.69526,0.01238559647332336,0.012385596473323374
irm,2,n_train_domains,worst_domain_acc_best,5,True,True,0.71636,0.71636,0.0018338484124921191,0.001833848412492108
irm,2,n_train_domains,avg_domain_acc_best,5,True,True,0.7236945454545455,0.7236945454545454,0.001845673968146612,0.001845673968146623
irm,2,n_train_domains,best_domain_acc_best,5,True,True,0.73094,0.73094,0.003143723906452376,0.003143723906452372
iro,2,n_train_domains,worst_domain_acc_best,5,True,True,0.67498,0.67498,0.010538832952466817,0.010538832952466782
iro,2,n_train_domains,avg_domain_acc_best,5,True,True,0.6861945454545455,0.6861945454545455,0.010394091217196704,0.010394091217196734
iro,2,n_train_domains,best_domain_acc_best,5,True,True,0.69798,0.69798,0.010205733682592344,0.0102057336825923
erm,4,n_train_domains,worst_domain_acc_best,5,True,True,0.66874,0.66874,0.009375659976769654,0.009375659976769648
erm,4,n_train_domains,avg_domain_acc_best,5,True,True,0.7151527272727272,0.7151527272727273,0.0019105340865495772,0.0019105340865495648
erm,4,n_train_domains,best_domain_acc_best,5,True,True,0.76156,0.76156,0.004300348823060725,0.004300348823060693
groupdro,4,n_train_domains,worst_domain_acc_best,5,True,True,0.6946800000000001,0.69468,0.007023318304049744,0.007023318304049727
groupdro,4,n_train_domains,avg_domain_acc_best,5,True,True,0.7101690909090909,0.7101690909090909,0.0008667074582474453,0.0008667074582474571
groupdro,4,n_train_domains,best_domain_acc_best,5,True,True,0.7246,0.7246,0.0040149719799769295,0.004014971979976927
inftask,4,n_train_domains,worst_domain_acc_best,5,True,True,0.66734,0.66734,0.030293283083878506,0.0302932830838785
inftask,4,n_train_domains,avg_domain_acc_best,5,True,True,0.6839981818181818,0.6839981818181818,0.014262328869907161,0.014262328869907165
inftask,4,n_train_domains,best_domain_acc_best,5,True,True,0.69738,0.69738,0.005408049555985955,0.005408049555985953
irm,4,n_train_domains,worst_domain_acc_best,5,True,True,0.7122200000000001,0.71222,0.0018498648599289576,0.0018498648599289532
irm,4,n_train_domains,avg_domain_acc_best,5,True,True,0.7184418181818182,0.7184418181818182,0.0013552255766610935,0.001355225576661084
irm,4,n_train_domains,best_domain_acc_best,5,True,True,0.7240800000000001,0.7240800000000001,0.0028682747427678655,0.0028682747427678794
iro,4,n_train_domains,worst_domain_acc_best,5,True,True,0.67938,0.67938,0.009263746542301327,0.009263746542301322
iro,4,n_train_domains,avg_domain_acc_best,5,True,True,0.6898309090909092,0.6898309090909092,0.008140036245782007,0.008140036245782006
