algorithm,condition,group_by,metric,records,mean_ok,std_ok,actual_mean,summary_mean,actual_std,summary_std
erm,last_heavy_mild,imbalance_type,best_domain_acc_best,5,True,True,0.7373200000000001,0.73732,0.01380677369989091,0.013806773699890907
groupdro,last_heavy_mild,imbalance_type,worst_domain_acc_best,5,True,True,0.60468,0.60468,0.013506924150227542,0.01350692415022755
groupdro,last_heavy_mild,imbalance_type,avg_domain_acc_best,5,True,True,0.6478272727272728,0.6478272727272728,0.0017209453485111884,0.0017209453485111854
groupdro,last_heavy_mild,imbalance_type,best_domain_acc_best,5,True,True,0.68944,0.68944,0.014035241358808178,0.014035241358808185
inftask,last_heavy_mild,imbalance_type,worst_domain_acc_best,5,True,True,0.6480400000000001,0.6480400000000001,0.028646867193464615,0.02864686719346461
inftask,last_heavy_mild,imbalance_type,avg_domain_acc_best,5,True,True,0.6672927272727274,0.6672927272727273,0.017907031953632836,0.017907031953632854
inftask,last_heavy_mild,imbalance_type,best_domain_acc_best,5,True,True,0.68562,0.68562,0.012719944968434382,0.012719944968434406
irm,last_heavy_mild,imbalance_type,worst_domain_acc_best,5,True,True,0.63788,0.63788,0.015308069767282858,0.015308069767282863
irm,last_heavy_mild,imbalance_type,avg_domain_acc_best,5,True,True,0.6876218181818181,0.6876218181818181,0.004473044149898565,0.004473044149898583
irm,last_heavy_mild,imbalance_type,best_domain_acc_best,5,True,True,0.7373200000000001,0.73732,0.013806773699890912,0.013806773699890862
iro,last_heavy_mild,imbalance_type,worst_domain_acc_best,5,True,True,0.65054,0.65054,0.024109707588438285,0.024109707588438316
iro,last_heavy_mild,imbalance_type,avg_domain_acc_best,5,True,True,0.6693218181818181,0.6693218181818181,0.015580418681184167,0.015580418681184142
iro,last_heavy_mild,imbalance_type,best_domain_acc_best,5,True,True,0.68664,0.68664,0.011627682486205047,0.011627682486205049
erm,last_heavy_strong,imbalance_type,worst_domain_acc_best,5,True,True,0.15642,0.15642,0.0323523105820898,0.03235231058208981
erm,last_heavy_strong,imbalance_type,avg_domain_acc_best,5,True,True,0.5491181818181818,0.5491181818181818,0.009808810763545301,0.0098088107635453
erm,last_heavy_strong,imbalance_type,best_domain_acc_best,5,True,True,0.9413600000000001,0.9413600000000001,0.012779397481884641,0.012779397481884634
groupdro,last_heavy_strong,imbalance_type,worst_domain_acc_best,5,True,True,0.49656,0.49656,0.011989286884548209,0.011989286884548254
groupdro,last_heavy_strong,imbalance_type,avg_domain_acc_best,5,True,True,0.6329981818181818,0.6329981818181818,0.005092679886832911,0.005092679886832893
groupdro,last_heavy_strong,imbalance_type,best_domain_acc_best,5,True,True,0.7704199999999999,0.77042,0.0074261026117338315,0.007426102611733845
inftask,last_heavy_strong,imbalance_type,worst_domain_acc_best,5,True,True,0.63218,0.63218,0.026373035471860266,0.026373035471860286
inftask,last_heavy_strong,imbalance_type,avg_domain_acc_best,5,True,True,0.6682836363636363,0.6682836363636364,0.012633236041987175,0.012633236041987166
inftask,last_heavy_strong,imbalance_type,best_domain_acc_best,5,True,True,0.7063599999999999,0.70636,0.01578521460101192,0.015785214601011916
irm,last_heavy_strong,imbalance_type,worst_domain_acc_best,5,True,True,0.15642,0.15642,0.0323523105820898,0.0323523105820898
irm,last_heavy_strong,imbalance_type,avg_domain_acc_best,5,True,True,0.5491181818181818,0.5491181818181818,0.009808810763545301,0.00980881076354529
irm,last_heavy_strong,imbalance_type,best_domain_acc_best,5,True,True,0.9413599999999999,0.9413600000000001,0.012779397481884641,0.012779397481884652
iro,last_heavy_strong,imbalance_type,worst_domain_acc_best,5,True,True,0.64198,0.64198,0.019405591977571836,0.019405591977571867
iro,last_heavy_strong,imbalance_type,avg_domain_acc_best,5,True,True,0.673170909090909,0.6731709090909092,0.012531707553836228,0.012531707553836226
iro,last_heavy_strong,imbalance_type,best_domain_acc_best,5,True,True,0.70798,0.70798,0.012973704174213285,0.012973704174213275
