algorithm,seed,exp_name,phase,args_id,n_train_domains,sample_size_per_domain,imbalance_type,train_envs,train_env_sizes,test_env,metric,model_selection,value
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,best,0.7188
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,final,0.7174
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,best,0.5994733273983002
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,final,0.6030355989933014
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,best,0.7154
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,final,0.7089
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,best,0.6049156785011292
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,final,0.6139793694019318
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,best,0.7148
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,final,0.7043
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,best,0.6035379767417908
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,final,0.6202265620231628
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,best,0.7116
