phase,algorithm,exp_name,n_train_domains,sample_size_per_domain,imbalance_type,worst_domain_acc_best_mean,worst_domain_acc_best_std,worst_domain_acc_best_count,avg_domain_acc_best_mean,avg_domain_acc_best_std,avg_domain_acc_best_count,best_domain_acc_best_mean,best_domain_acc_best_std,best_domain_acc_best_count,worst_domain_acc_final_mean,worst_domain_acc_final_std,worst_domain_acc_final_count,avg_domain_acc_final_mean,avg_domain_acc_final_std,avg_domain_acc_final_count,best_domain_acc_final_mean,best_domain_acc_final_std,best_domain_acc_final_count
sample_size,erm,e2_sample_size_small,4,2000.0,balanced,0.6024,,1,0.6815181818181818,,1,0.7613,,1,0.5611,,1,0.6431272727272727,,1,0.7311,,1
sample_size,iro,e2_sample_size_small,4,2000.0,balanced,0.6552,,1,0.6790545454545454,,1,0.7077,,1,0.6552,,1,0.6790545454545454,,1,0.7077,,1
