algorithm,seed,exp_name,phase,args_id,n_train_domains,sample_size_per_domain,imbalance_type,train_envs,train_env_sizes,test_env,metric,model_selection,value
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,acc,best,0.7137
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,acc,final,0.6798
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,best,0.6279919445514679
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,final,0.7016980051994324
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,best,0.7043
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,final,0.6664
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,best,0.6486775875091553
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,final,0.7316132485866547
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,best,0.7102272727272727
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,best,0.6967
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,best,0.7188
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,final,0.6907000000000001
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,final,0.6664
groupdro,0,e0_repro_small,reproduction,edde2a2c7005f421a9fbe50b5df9e805,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,final,0.7174
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,best,0.6768
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,final,0.6768
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,best,0.643227756023407
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,final,0.6432277262210846
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,best,0.6854
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,final,0.6854
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,best,0.6416520476341248
iro,0,e0_repro_small,reproduction,603841a4e01bcd07a7ee0d58b7fd7e5b,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,final,0.6416520178318024
