algorithm,seed,exp_name,phase,args_id,n_train_domains,sample_size_per_domain,imbalance_type,train_envs,train_env_sizes,test_env,metric,model_selection,value
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,best,0.6679
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,final,0.6693
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,best,0.6614530384540558
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,final,0.6598652899265289
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,best,0.6581
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,final,0.6597
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,best,0.6639541387557983
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,final,0.6624243855476379
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,best,0.6687
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,final,0.6693
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,best,0.6632692217826843
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,final,0.661640465259552
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,best,0.6852
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,final,0.6856
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,best,0.6429689228534698
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,final,0.6404995024204254
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,best,0.6767
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,final,0.6769
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,best,0.6451196670532227
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,final,0.6428655385971069
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,best,0.6751
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,final,0.6742
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,best,0.6460469365119934
iro,2,e0_repro_small,reproduction,4f8ba8c67856080c71183a90cbc3b455,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,final,0.6439297199249268
