phase,algorithm,exp_name,n_train_domains,sample_size_per_domain,imbalance_type,worst_domain_acc_best_mean,worst_domain_acc_best_std,worst_domain_acc_best_count,avg_domain_acc_best_mean,avg_domain_acc_best_std,avg_domain_acc_best_count,best_domain_acc_best_mean,best_domain_acc_best_std,best_domain_acc_best_count,worst_domain_acc_final_mean,worst_domain_acc_final_std,worst_domain_acc_final_count,avg_domain_acc_final_mean,avg_domain_acc_final_std,avg_domain_acc_final_count,best_domain_acc_final_mean,best_domain_acc_final_std,best_domain_acc_final_count
sample_size,erm,e2_sample_size_small,4,2000.0,balanced,0.5836666666666667,0.018133210783899636,3,0.6782818181818181,0.003191880194110321,3,0.7677333333333333,0.008675444272965696,3,0.5459333333333333,0.018728142815915647,3,0.6411030303030303,0.003242095706946758,3,0.7351666666666666,0.012698162596743398,3
sample_size,groupdro,e2_sample_size_small,4,2000.0,balanced,0.58745,0.014495689014324197,2,0.6510318181818182,0.00021213203435590164,2,0.7159500000000001,0.013647160876900316,2,0.57055,0.014354267658086905,2,0.6444318181818183,0.00023784500821737053,2,0.72105,0.01421284630184961,2
sample_size,iro,e2_sample_size_small,4,2000.0,balanced,0.6571666666666667,0.009996165931662691,3,0.6819818181818181,0.002669494024549883,3,0.7084333333333334,0.012016793804228048,3,0.6565,0.008227393268830645,3,0.6821181818181818,0.002752264281947951,3,0.7091333333333333,0.011318274308980714,3
