algorithm,seed,exp_name,phase,args_id,n_train_domains,sample_size_per_domain,imbalance_type,train_envs,train_env_sizes,test_env,metric,model_selection,value
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,best,0.725504457950592
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,final,0.7781716883182526
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,best,0.6692
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,final,0.6424
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,best,0.7417880594730377
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,final,0.7906194627285004
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,best,0.7118
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,best,0.6692
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,best,0.7501
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,final,0.6913818181818182
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,final,0.6424
erm,1,e0_repro_small,reproduction,465f87468db1774cf04dfd38b990a68d,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,final,0.7384
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,best,0.6879
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,final,0.6879
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,best,0.6327430605888367
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,final,0.6327430605888367
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,best,0.6925
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,final,0.6925
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,best,0.6314139664173126
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,final,0.6314139366149902
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,best,0.6982
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,final,0.6982
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,best,0.6280660629272461
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,final,0.6280660331249237
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,best,0.6971
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,final,0.6971
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,best,0.6140806376934052
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,final,0.6140806078910828
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,best,0.7018
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,final,0.7018
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,best,0.6090794205665588
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,final,0.6090794205665588
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,best,0.6947
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,final,0.6947
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,best,0.6144210696220398
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,final,0.6144210696220398
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,acc,best,0.6969
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,acc,final,0.6969
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,loss,best,0.6133268475532532
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,loss,final,0.6133268475532532
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,acc,best,0.6971
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,acc,final,0.6971
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,loss,best,0.6127512156963348
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,loss,final,0.6127512156963348
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,acc,best,0.6812
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,acc,final,0.6812
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,loss,best,0.6212736964225769
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,loss,final,0.6212737262248993
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,acc,best,0.6917
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,acc,final,0.6917
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,best,0.6184906661510468
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,final,0.6184906959533691
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,best,0.69
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,final,0.69
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,best,0.6193161308765411
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,final,0.6193161606788635
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,best,0.6935545454545454
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,best,0.6812
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,best,0.7018
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,final,0.6935545454545454
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,final,0.6812
iro,1,e0_repro_small,reproduction,1d798d5783c0eea4eddae0cbb2e2ea85,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,final,0.7018
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,best,0.7142
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,acc,final,0.7084
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,best,0.6102972030639648
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.0,loss,final,0.6233906149864197
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,best,0.7151
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,acc,final,0.7064
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,best,0.6110125780105591
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.1,loss,final,0.6299382448196411
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,best,0.72
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,final,0.7093
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,best,0.6075044870376587
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,final,0.6346561312675476
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,best,0.7143
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,final,0.7044
groupdro,1,e0_repro_small,reproduction,6a7e57a240d1f48c755b324c9edd43bb,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,best,0.6141875386238098
