condition,algorithm,lambda_label,avg_accuracy_mean,avg_accuracy_std,worst_accuracy_mean,worst_accuracy_std,tail_accuracy_mean,tail_accuracy_std,head_accuracy_mean,head_accuracy_std,head_tail_gap_mean,head_tail_gap_std,empirical_cvar_a05_mean,empirical_cvar_a05_std,deployment_cvar_a05_mean,deployment_cvar_a05_std,cvar_gap_a05_mean,cvar_gap_a05_std,empirical_cvar_a075_mean,empirical_cvar_a075_std,deployment_cvar_a075_mean,deployment_cvar_a075_std,cvar_gap_a075_mean,cvar_gap_a075_std,empirical_cvar_a09_mean,empirical_cvar_a09_std,deployment_cvar_a09_mean,deployment_cvar_a09_std,cvar_gap_a09_mean,cvar_gap_a09_std
balanced_visible,erm,none,0.6851018181818181,0.004637425903264029,0.61276,0.017366577095098496,0.6267199999999999,0.016187556949706788,0.74368,0.009359326898874722,0.11696,0.025468765184044555,0.6468732396761576,0.013348087912660626,0.7073920369148253,0.022416524099894784,0.06051879723866771,0.00980516558023731,0.6930066376924515,0.020689111448739552,0.7479166269302369,0.03013276178587225,0.05490998923778541,0.009647224696824854,0.749354076385498,0.028993185228549583,0.7614878833293914,0.03087814190155172,0.012133806943893433,0.00409933304676158
balanced_visible,groupdro,none,0.6516709090909091,0.0010084232025156501,0.6048199999999999,0.014699047588194257,0.61572,0.012032746984791148,0.6896,0.0120255976982435,0.07387999999999999,0.023530235867921086,1.0176818668842316,0.050909185469358284,1.0933524022499719,0.04534382189913186,0.07567053536574038,0.020112561155129785,1.073464009165764,0.0459690470472742,1.1427481333414715,0.04667235037339358,0.06928412417570762,0.019780535382312232,1.140794312953949,0.046943244221448834,1.1586257815361023,0.048991855129112284,0.01783146858215332,0.01019018026048275
balanced_visible,inftask,none,0.6698818181818181,0.008961831369067572,0.65464,0.009895099797374449,0.66262,0.007091332737927329,0.6780200000000001,0.021945660163230414,0.015400000000000035,0.024885035664029064,0.6390669206778208,0.0045630557683408735,0.6405930906534195,0.004348480324782495,0.002809821565945958,0.0028683975875159907,0.6437587559223175,0.0051347825228715074,0.6465621689955394,0.004399341844723403,0.003445510069529223,0.004181225584477729,0.6481866002082824,0.0025727287644464634,0.6478720426559448,0.003764237549773904,0.001410210132598877,0.001003802707067249
balanced_visible,irm,none,0.6632763636363637,0.003406523882006083,0.6246,0.018241162243672976,0.63446,0.016243552567095667,0.69542,0.012308411757818334,0.060960000000000014,0.027012552637616455,0.9602072099844614,0.011069882178438043,1.0227795302867888,0.031177760814152883,0.06257232030232733,0.026547984690604026,1.0058363765478133,0.027627039116210523,1.0637003560860954,0.04979151325420467,0.05786397953828189,0.024067562879887823,1.0625094592571258,0.05272496956156405,1.076291263103485,0.05463203899295714,0.013781803846359252,0.010054529181907036
balanced_visible,iro,none,0.6743290909090909,0.007706676830424069,0.6589400000000001,0.005096371258061951,0.6642,0.004231430018327115,0.68466,0.01646550940602811,0.020459999999999968,0.018401983588733017,0.6370544056097667,0.0034379279288166194,0.6421246806780496,0.004504737376987199,0.005569022893905595,0.006213691308767699,0.6419647604227066,0.00460776200043225,0.6477333088715872,0.007994936328353684,0.006035018960634941,0.005600172911561189,0.6493759512901306,0.01126355274912556,0.650150540471077,0.010833886124917182,0.0016435772180557473,0.0017832093104910042
long_tail_visible,erm,none,0.5657327272727273,0.004253625580432766,0.2189,0.013993748604287568,0.2868,0.014329166060870393,0.8428799999999999,0.00625355898668909,0.55608,0.02047857416911635,0.8126212064921855,0.07085187155269379,2.5894032398859657,0.19257952491099933,1.7767820333937803,0.12759913087824057,1.2646657737096152,0.10193023690483398,3.0623189290364587,0.22611743275894539,1.7976531553268433,0.12630289392902455,2.058877096176148,0.1560994106687165,3.223906123638153,0.24315707005937248,1.1650290274620052,0.08935441569615118
long_tail_visible,groupdro,none,0.6056527272727272,0.0035008759234518277,0.36318,0.008743969350357983,0.41006,0.009392177596276606,0.8003199999999999,0.005191531565925416,0.39025999999999994,0.01423562432772095,0.6592917072027922,0.025276936642710707,1.5930037935574848,0.03940041520533139,0.9337120863546925,0.03763382600250809,0.8965653038024903,0.02328979870513398,1.8424198468526207,0.04898714786023608,0.9458545430501303,0.037702084259867694,1.3146272468566895,0.033843390425088694,1.9262150287628175,0.05613935986461762,0.6115877819061278,0.02546135101392981
long_tail_visible,inftask,none,0.6518490909090909,0.00515509296434841,0.5459799999999999,0.02505058881543505,0.56662,0.01944034464715064,0.7409399999999999,0.021375991205088027,0.17431999999999997,0.03915969867095505,0.6176777803897858,0.017933690554139476,0.6900662044684092,0.013413453738455216,0.07238842407862338,0.029111010344346662,0.6326642994085947,0.012758944847085984,0.717625121275584,0.02461911837230849,0.08496082186698917,0.03465229259636972,0.6578193438053132,0.0013164835643027172,0.7265832245349884,0.02888548244115758,0.06876388072967524,0.02880932229939275
long_tail_visible,irm,none,0.6335345454545454,0.0031865056381274867,0.47797999999999996,0.007790827940597858,0.5086999999999999,0.010640018796975893,0.7590199999999999,0.0036615570458481397,0.25032,0.013177898163212546,0.679268268942833,0.023234686285811833,1.2333816657463708,0.06115856663137884,0.5541133968035379,0.054835920841849,0.8177548599243165,0.02451622703661709,1.382579525311788,0.07541950123100757,0.5648246653874717,0.06088439714585826,1.0669878339767458,0.047735961926326925,1.4330894470214843,0.0819554663436407,0.36610161304473876,0.03463573631284748
long_tail_visible,iro,none,0.6533363636363636,0.006717237601256621,0.54662,0.026392366320585947,0.56576,0.023922019145548704,0.7472000000000001,0.017325270560657923,0.18144000000000002,0.038980931235669564,0.6197457653284073,0.027191902158666594,0.6871471414963404,0.013368668578941596,0.06740137616793314,0.038806867406798756,0.6347618819366802,0.01945176203525655,0.7122421960035961,0.02457143074056835,0.07748031406691584,0.041829908925577024,0.6590247655998577,0.003837305487014544,0.7202717512845993,0.029229083128553806,0.06124698568474165,0.028860473566704955
