condition,erm,groupdro,inftask,irm,iro
balanced_visible,0.593/0.655 (tail:0.593),0.601/0.654 (tail:0.601),0.657/0.674 (tail:0.661),0.632/0.671 (tail:0.632),0.661/0.679 (tail:0.662)
long_tail_visible,0.285/0.615 (tail:0.285),0.315/0.622 (tail:0.315),0.559/0.671 (tail:0.559),0.504/0.656 (tail:0.504),0.556/0.675 (tail:0.556)
near_missing_tail,0.224/0.603 (tail:0.224),0.240/0.607 (tail:0.240),0.436/0.657 (tail:0.436),0.456/0.646 (tail:0.456),0.424/0.653 (tail:0.424)
missing_tail,0.233/0.606 (tail:0.233),0.239/0.608 (tail:0.239),0.441/0.673 (tail:0.441),0.425/0.647 (tail:0.425),0.431/0.671 (tail:0.431)
