condition,algorithm,lambda_label,avg_accuracy_mean,avg_accuracy_std,worst_accuracy_mean,worst_accuracy_std,tail_accuracy_mean,tail_accuracy_std,head_accuracy_mean,head_accuracy_std,head_tail_gap_mean,head_tail_gap_std,empirical_cvar_a05_mean,empirical_cvar_a05_std,deployment_cvar_a05_mean,deployment_cvar_a05_std,cvar_gap_a05_mean,cvar_gap_a05_std,empirical_cvar_a075_mean,empirical_cvar_a075_std,deployment_cvar_a075_mean,deployment_cvar_a075_std,cvar_gap_a075_mean,cvar_gap_a075_std,empirical_cvar_a09_mean,empirical_cvar_a09_std,deployment_cvar_a09_mean,deployment_cvar_a09_std,cvar_gap_a09_mean,cvar_gap_a09_std
balanced_visible,erm,none,0.697015,0.0017243295798658252,0.6267199999999999,0.016187556949706788,0.6267199999999999,0.016187556949706788,0.74368,0.009359326898874722,0.11696,0.025468765184044555,0.6468732396761576,0.013348087912660626,0.6468732396761576,0.013348087912660626,0.0,0.0,0.6930066376924515,0.020689111448739552,0.6930066376924515,0.020689111448739552,0.0,0.0,0.749354076385498,0.028993185228549583,0.749354076385498,0.028993185228549583,0.0,0.0
balanced_visible,groupdro,none,0.658825,0.002647699473127554,0.61572,0.012032746984791148,0.61572,0.012032746984791148,0.6896,0.0120255976982435,0.07387999999999999,0.023530235867921086,1.0176818668842316,0.050909185469358284,1.0176818668842316,0.050909185469358284,0.0,0.0,1.073464009165764,0.0459690470472742,1.073464009165764,0.0459690470472742,0.0,0.0,1.140794312953949,0.046943244221448834,1.140794312953949,0.046943244221448834,0.0,0.0
balanced_visible,inftask,none,0.6715150000000001,0.011249744441541726,0.65844,0.009575124020084536,0.66262,0.007091332737927329,0.6780200000000001,0.021945660163230414,0.015400000000000035,0.024885035664029064,0.6390669206778208,0.0045630557683408735,0.6390669206778208,0.0045630557683408735,0.0,0.0,0.6437587559223175,0.0051347825228715074,0.6437587559223175,0.0051347825228715074,0.0,0.0,0.6481866002082824,0.0025727287644464634,0.6481866002082824,0.0025727287644464634,0.0,0.0
balanced_visible,irm,none,0.6699200000000001,0.004012145622980366,0.63446,0.016243552567095667,0.63446,0.016243552567095667,0.69542,0.012308411757818334,0.060960000000000014,0.027012552637616455,0.9602072099844614,0.011069882178438043,0.9602072099844614,0.011069882178438043,0.0,0.0,1.0058363765478133,0.027627039116210523,1.0058363765478133,0.027627039116210523,0.0,0.0,1.0625094592571258,0.05272496956156405,1.0625094592571258,0.05272496956156405,0.0,0.0
balanced_visible,iro,none,0.67749,0.009074063312540872,0.66258,0.003743928418119122,0.6642,0.004231430018327115,0.68466,0.01646550940602811,0.020459999999999968,0.018401983588733017,0.6370544056097667,0.0034379279288166194,0.6370544056097667,0.0034379279288166194,0.0,0.0,0.6419647604227066,0.00460776200043225,0.6419647604227066,0.00460776200043225,0.0,0.0,0.6493759512901306,0.01126355274912556,0.6493759512901306,0.01126355274912556,0.0,0.0
long_tail_visible,erm,none,0.616005,0.003531040923014037,0.2868,0.014329166060870393,0.2868,0.014329166060870393,0.8428799999999999,0.00625355898668909,0.55608,0.02047857416911635,0.8126212064921855,0.0708518715526938,1.913863519827525,0.14422372822368815,1.1012423133353393,0.07949414214469715,1.264665773709615,0.10193023690483398,2.4370152235031126,0.17958493616962007,1.1723494497934976,0.08109909504108746,2.058877096176148,0.1560994106687165,3.067245435714722,0.21980584698557137,1.008368339538574,0.06840259944520351
long_tail_visible,groupdro,none,0.6408099999999999,0.0021161285405192224,0.41006,0.009392177596276606,0.41006,0.009392177596276606,0.8003199999999999,0.005191531565925416,0.39025999999999994,0.01423562432772095,0.6592917072027922,0.025276936642710707,1.2377067446708678,0.030548171582927983,0.5784150374680758,0.025765836179813085,0.8965653038024902,0.023289798705133962,1.5127929508686067,0.04003612088541846,0.6162276470661163,0.02845873347175273,1.3146272468566895,0.033843390425088694,1.8430691242218018,0.053137102122897496,0.5284418773651123,0.02707424300172062
long_tail_visible,inftask,none,0.66864,0.007040964955174829,0.56662,0.01944034464715064,0.56662,0.01944034464715064,0.7409399999999999,0.021375991205088027,0.17431999999999997,0.03915969867095505,0.6176777803897858,0.01793369055413952,0.6601136048634848,0.0049926603092022475,0.04243582447369896,0.01690290903134684,0.6326642994085947,0.012758944847085984,0.6801270186901093,0.009443264913813712,0.04746271928151451,0.020296980743174764,0.6578193438053132,0.0013164835643027172,0.7173064768314361,0.024867670883391684,0.059487133026123004,0.024770593237517038
long_tail_visible,irm,none,0.6564,0.002775450413896777,0.5086999999999999,0.010640018796975893,0.5086999999999999,0.010640018796975893,0.7590199999999999,0.0036615570458481397,0.25032,0.013177898163212546,0.679268268942833,0.023234686285811833,1.0214480340480805,0.04120351321668326,0.3421797651052475,0.033002507791415385,0.8177548599243165,0.02451622703661709,1.1856028646230699,0.05872848934142893,0.3678480046987533,0.043423348735018324,1.0669878339767458,0.047735961926326925,1.3832945823669434,0.07756369540681285,0.3163067483901977,0.0314087644501177
long_tail_visible,iro,none,0.671815,0.006342382241713263,0.56576,0.023922019145548704,0.56576,0.023922019145548704,0.7472000000000001,0.017325270560657923,0.18144000000000002,0.038980931235669564,0.6197457653284073,0.027191902158666594,0.6601117789745331,0.00630666858048676,0.0403660136461258,0.02396803542909457,0.6347618819366802,0.019451762035256552,0.6797059565782547,0.010831808123517923,0.04494407464157453,0.02730461966570321,0.6590247655998577,0.003837305487014544,0.7129071414470672,0.027350081179760764,0.05388237584720956,0.02684402289745308
missing_tail,erm,none,0.60637,0.0034807685932850773,0.23298000000000002,0.013449052011201385,0.23298000000000002,0.013449052011201385,0.8638600000000001,0.004205115931814487,0.63088,0.014697516797064715,0.7157163042575121,0.05634145192619303,2.2669136067231497,0.1378512941558563,1.5511973024656376,0.08424650485967747,0.7157163042575121,0.05634145192619303,2.922916090488434,0.17812850165000318,2.207199786230922,0.12492798125206366,1.2488390490412713,0.07711771749453808,3.715201902389526,0.23314301726255046,2.4663628533482553,0.16528345207687886
missing_tail,groupdro,none,0.62486,0.0033131650275831305,0.31114,0.009556568421771468,0.31114,0.009556568421771468,0.8406600000000001,0.005758732499430786,0.52952,0.007572450065863714,0.5532303251326084,0.026360541999842738,1.4700616200764975,0.09260917758582424,0.916831294943889,0.06864553984958381,0.5532303251326084,0.026360541999842738,1.8564388513565064,0.12351195967303087,1.303208526223898,0.09962580734339958,0.8704148828983307,0.04670933750181448,2.3231396436691285,0.15917314358278914,1.4527247607707978,0.11643789603494353
missing_tail,inftask,none,0.679605,0.006941077906204493,0.45633999999999997,0.021940442110404232,0.45633999999999997,0.021940442110404232,0.8593,0.010297329750959735,0.40295999999999993,0.027468309012387344,0.5129725567996501,0.01987416732393768,0.6861702005068462,0.012827475476332138,0.17319764370719593,0.017410905011130618,0.5129725567996501,0.01987416732393768,0.7603500604629516,0.01677331380583516,0.24737750366330147,0.024982253220340974,0.571975439786911,0.01318806033027348,0.8462298035621643,0.025397663838734603,0.2742543637752533,0.026526944640717903
missing_tail,irm,none,0.6463150000000001,0.00453585025105544,0.43187999999999993,0.03881291022327492,0.43187999999999993,0.03881291022327492,0.79558,0.023791111785706864,0.3637,0.06175880504025315,0.5841380141675472,0.01494895808151749,1.1852334022521973,0.17784268727532368,0.60109538808465,0.17479624225953388,0.5841380141675472,0.01494895808151749,1.437002256512642,0.2525245460936385,0.8528642423450947,0.2495481808357244,0.7946174442768097,0.06305441895338418,1.740621817111969,0.3422196954625199,0.9460043728351593,0.28092941031475743
