checkpoint_path,algorithm,seed,test_env,lambda_used,oracle_lambda,metric,oracle_value,used_value,used_deployment_mean_accuracy,oracle_deployment_mean_accuracy,deployment_wide_pseudo_regret,pseudo_regret,regret_type,true_regret
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.8,0.2,accuracy,0.69154,0.7032,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.9,0.2,accuracy,0.69154,0.7038,0.69016,0.69154,0.0013800000000000479,0.0013800000000000479,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,1.0,0.2,accuracy,0.69154,0.7039,0.6897599999999999,0.69154,0.0017800000000001148,0.0017800000000001148,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.0,0.2,accuracy,0.69154,0.7058,0.6910000000000001,0.69154,0.0005399999999999849,0.0005399999999999849,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.1,0.2,accuracy,0.69154,0.7061,0.6913199999999999,0.69154,0.000220000000000109,0.000220000000000109,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.2,0.2,accuracy,0.69154,0.7066,0.69154,0.69154,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.3,0.2,accuracy,0.69154,0.7073,0.69024,0.69154,0.0013000000000000789,0.0013000000000000789,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.4,0.2,accuracy,0.69154,0.7049,0.68902,0.69154,0.0025200000000000777,0.0025200000000000777,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.5,0.2,accuracy,0.69154,0.7067,0.68982,0.69154,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.6,0.2,accuracy,0.69154,0.707,0.68952,0.69154,0.0020200000000000218,0.0020200000000000218,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.7,0.2,accuracy,0.69154,0.7068,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.8,0.2,accuracy,0.69154,0.7072,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,0.9,0.2,accuracy,0.69154,0.7087,0.69016,0.69154,0.0013800000000000479,0.0013800000000000479,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,1.0,1.0,0.2,accuracy,0.69154,0.7098,0.6897599999999999,0.69154,0.0017800000000001148,0.0017800000000001148,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.0,0.8,accuracy,0.6863400000000001,0.8024,0.6544000000000001,0.6863400000000001,0.03193999999999997,0.03193999999999997,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.1,0.8,accuracy,0.6863400000000001,0.8093,0.6555,0.6863400000000001,0.03084000000000009,0.03084000000000009,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.2,0.8,accuracy,0.6863400000000001,0.7866,0.6571999999999999,0.6863400000000001,0.029140000000000166,0.029140000000000166,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.3,0.8,accuracy,0.6863400000000001,0.7607,0.66576,0.6863400000000001,0.020580000000000043,0.020580000000000043,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.4,0.8,accuracy,0.6863400000000001,0.7411,0.67278,0.6863400000000001,0.013560000000000016,0.013560000000000016,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.5,0.8,accuracy,0.6863400000000001,0.7181,0.6782600000000001,0.6863400000000001,0.008079999999999976,0.008079999999999976,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.6,0.8,accuracy,0.6863400000000001,0.7032,0.68232,0.6863400000000001,0.0040200000000000236,0.0040200000000000236,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.7,0.8,accuracy,0.6863400000000001,0.6938,0.68462,0.6863400000000001,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.8,0.8,accuracy,0.6863400000000001,0.6897,0.6863400000000001,0.6863400000000001,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,0.9,0.8,accuracy,0.6863400000000001,0.6872,0.6863,0.6863400000000001,4.0000000000040004e-05,4.0000000000040004e-05,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\09c6e2f547919223592ba676adeec8ab_best.pkl,inftask,0,0.0,1.0,0.8,accuracy,0.6863400000000001,0.6842,0.6859999999999999,0.6863400000000001,0.000340000000000118,0.000340000000000118,same_checkpoint_deployment_wide_lambda_oracle,
