checkpoint_path,algorithm,seed,test_env,lambda_used,oracle_lambda,metric,oracle_value,used_value,used_deployment_mean_accuracy,oracle_deployment_mean_accuracy,deployment_wide_pseudo_regret,pseudo_regret,regret_type,true_regret
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,0.8,0.2,accuracy,0.69154,0.6745,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,0.9,0.2,accuracy,0.69154,0.6738,0.69016,0.69154,0.0013800000000000479,0.0013800000000000479,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.1,1.0,0.2,accuracy,0.69154,0.6722,0.6897599999999999,0.69154,0.0017800000000001148,0.0017800000000001148,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.0,0.2,accuracy,0.69154,0.6939,0.6910000000000001,0.69154,0.0005399999999999849,0.0005399999999999849,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.1,0.2,accuracy,0.69154,0.6939,0.6913199999999999,0.69154,0.000220000000000109,0.000220000000000109,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.2,0.2,accuracy,0.69154,0.6948,0.69154,0.69154,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.3,0.2,accuracy,0.69154,0.6931,0.69024,0.69154,0.0013000000000000789,0.0013000000000000789,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.4,0.2,accuracy,0.69154,0.6918,0.68902,0.69154,0.0025200000000000777,0.0025200000000000777,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.5,0.2,accuracy,0.69154,0.6929,0.68982,0.69154,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.6,0.2,accuracy,0.69154,0.6921,0.68952,0.69154,0.0020200000000000218,0.0020200000000000218,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.7,0.2,accuracy,0.69154,0.6941,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.8,0.2,accuracy,0.69154,0.6935,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,0.9,0.2,accuracy,0.69154,0.6925,0.69016,0.69154,0.0013800000000000479,0.0013800000000000479,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.5,1.0,0.2,accuracy,0.69154,0.6927,0.6897599999999999,0.69154,0.0017800000000001148,0.0017800000000001148,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.0,0.2,accuracy,0.69154,0.7042,0.6910000000000001,0.69154,0.0005399999999999849,0.0005399999999999849,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.1,0.2,accuracy,0.69154,0.7039,0.6913199999999999,0.69154,0.000220000000000109,0.000220000000000109,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.2,0.2,accuracy,0.69154,0.7046,0.69154,0.69154,0.0,0.0,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.3,0.2,accuracy,0.69154,0.7045,0.69024,0.69154,0.0013000000000000789,0.0013000000000000789,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.4,0.2,accuracy,0.69154,0.7028,0.68902,0.69154,0.0025200000000000777,0.0025200000000000777,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.5,0.2,accuracy,0.69154,0.7043,0.68982,0.69154,0.0017200000000000548,0.0017200000000000548,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.6,0.2,accuracy,0.69154,0.7036,0.68952,0.69154,0.0020200000000000218,0.0020200000000000218,same_checkpoint_deployment_wide_lambda_oracle,
C:\Users\320257223\PycharmProjects\domain_gen_IL\results\cmnist_exp\ckpts\0268e00ec2b36c8905d74119a90e1e81_best.pkl,iro,0,0.9,0.7,0.2,accuracy,0.69154,0.7034,0.69036,0.69154,0.0011800000000000699,0.0011800000000000699,same_checkpoint_deployment_wide_lambda_oracle,
