n_domains,sample_size,exponent,missing_tail_fraction,alpha,tradeoff,repetitions,reversal_probability,observed_tail_probability,mean_empirical_tail_weight,mean_deployment_gap,mean_empirical_gap,head_favored_empirical_wins,tail_favored_empirical_wins
10,512,1.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.2777166740461557,1000,0
10,512,2.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.41026703559027783,1000,0
10,2048,0.0,0.0,0.5,0.5,1000,0.0,1.0,0.0994931640625,0.04999999999999993,0.050289833336226934,0,1000
10,2048,0.5,0.0,0.5,0.5,1000,1.0,1.0,0.06270361328125,0.04999999999999993,0.06658671913418156,1000,0
10,2048,1.0,0.0,0.5,0.5,1000,1.0,1.0,0.034044921875,0.04999999999999993,0.21843433628970643,1000,0
10,2048,2.0,0.0,0.5,0.5,1000,1.0,1.0,0.006482421875,0.04999999999999993,0.400572509765625,1000,0
10,2048,0.0,0.1,0.5,0.5,1000,0.985,0.0,0.0,0.04999999999999993,0.005671249937449696,985,15
10,2048,0.5,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.09624574084965465,1000,0
10,2048,1.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.2440300341333383,1000,0
10,2048,2.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.40332847764756946,1000,0
10,2048,0.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.06146457654247126,1000,0
10,2048,0.5,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.16968686381312334,1000,0
10,2048,1.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.2606036498254074,1000,0
10,2048,2.0,0.2,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.4067614474826389,1000,0
10,2048,0.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.11661094979300873,1000,0
10,2048,0.5,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.19411795379868307,1000,0
10,2048,1.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.27772055382491767,1000,0
10,2048,2.0,0.3,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.410317138671875,1000,0
10,8192,0.0,0.0,0.5,0.5,1000,0.0,1.0,0.0997847900390625,0.04999999999999993,0.04990135388888832,0,1000
10,8192,0.5,0.0,0.5,0.5,1000,1.0,1.0,0.0630885009765625,0.04999999999999993,0.06642132167666104,1000,0
10,8192,1.0,0.0,0.5,0.5,1000,1.0,1.0,0.0341529541015625,0.04999999999999993,0.22690653577805375,1000,0
10,8192,2.0,0.0,0.5,0.5,1000,1.0,1.0,0.00652099609375,0.04999999999999993,0.4005394965277778,1000,0
10,8192,0.0,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.00550624191836174,1000,0
10,8192,0.5,0.1,0.5,0.5,1000,1.0,0.0,0.0,0.04999999999999993,0.0907285269931035,1000,0
